IdBundesland,Bundesland,IdLandkreis,Landkreis
1,Schleswig-Holstein,1001,SK Flensburg
1,Schleswig-Holstein,1002,SK Kiel
1,Schleswig-Holstein,1003,SK Lübeck
1,Schleswig-Holstein,1004,SK Neumünster
1,Schleswig-Holstein,1051,LK Dithmarschen
1,Schleswig-Holstein,1053,LK Herzogtum Lauenburg
1,Schleswig-Holstein,1054,LK Nordfriesland
1,Schleswig-Holstein,1055,LK Ostholstein
1,Schleswig-Holstein,1056,LK Pinneberg
1,Schleswig-Holstein,1057,LK Plön
1,Schleswig-Holstein,1058,LK Rendsburg-Eckernförde
1,Schleswig-Holstein,1059,LK Schleswig-Flensburg
1,Schleswig-Holstein,1060,LK Segeberg
1,Schleswig-Holstein,1061,LK Steinburg
1,Schleswig-Holstein,1062,LK Stormarn
2,Hamburg,2000,SK Hamburg
3,Niedersachsen,3101,SK Braunschweig
3,Niedersachsen,3102,SK Salzgitter
3,Niedersachsen,3103,SK Wolfsburg
3,Niedersachsen,3151,LK Gifhorn
3,Niedersachsen,3153,LK Goslar
3,Niedersachsen,3154,LK Helmstedt
3,Niedersachsen,3155,LK Northeim
3,Niedersachsen,3157,LK Peine
3,Niedersachsen,3158,LK Wolfenbüttel
3,Niedersachsen,3159,LK Göttingen
3,Niedersachsen,3241,Region Hannover
3,Niedersachsen,3251,LK Diepholz
3,Niedersachsen,3252,LK Hameln-Pyrmont
3,Niedersachsen,3254,LK Hildesheim
3,Niedersachsen,3255,LK Holzminden
3,Niedersachsen,3256,LK Nienburg (Weser)
3,Niedersachsen,3257,LK Schaumburg
3,Niedersachsen,3351,LK Celle
3,Niedersachsen,3352,LK Cuxhaven
3,Niedersachsen,3353,LK Harburg
3,Niedersachsen,3354,LK Lüchow-Dannenberg
3,Niedersachsen,3355,LK Lüneburg
3,Niedersachsen,3356,LK Osterholz
3,Niedersachsen,3357,LK Rotenburg (Wümme)
3,Niedersachsen,3358,LK Heidekreis
3,Niedersachsen,3359,LK Stade
3,Niedersachsen,3360,LK Uelzen
3,Niedersachsen,3361,LK Verden
3,Niedersachsen,3401,SK Delmenhorst
3,Niedersachsen,3402,SK Emden
3,Niedersachsen,3403,SK Oldenburg
3,Niedersachsen,3404,SK Osnabrück
3,Niedersachsen,3405,SK Wilhelmshaven
3,Niedersachsen,3451,LK Ammerland
3,Niedersachsen,3452,LK Aurich
3,Niedersachsen,3453,LK Cloppenburg
3,Niedersachsen,3454,LK Emsland
3,Niedersachsen,3455,LK Friesland
3,Niedersachsen,3456,LK Grafschaft Bentheim
3,Niedersachsen,3457,LK Leer
3,Niedersachsen,3458,LK Oldenburg
3,Niedersachsen,3459,LK Osnabrück
3,Niedersachsen,3460,LK Vechta
3,Niedersachsen,3461,LK Wesermarsch
3,Niedersachsen,3462,LK Wittmund
4,Bremen,4011,SK Bremen
4,Bremen,4012,SK Bremerhaven
5,Nordrhein-Westfalen,5111,SK Düsseldorf
5,Nordrhein-Westfalen,5112,SK Duisburg
5,Nordrhein-Westfalen,5113,SK Essen
5,Nordrhein-Westfalen,5114,SK Krefeld
5,Nordrhein-Westfalen,5116,SK Mönchengladbach
5,Nordrhein-Westfalen,5117,SK Mülheim a.d.Ruhr
5,Nordrhein-Westfalen,5119,SK Oberhausen
5,Nordrhein-Westfalen,5120,SK Remscheid
5,Nordrhein-Westfalen,5122,SK Solingen
5,Nordrhein-Westfalen,5124,SK Wuppertal
5,Nordrhein-Westfalen,5154,LK Kleve
5,Nordrhein-Westfalen,5158,LK Mettmann
5,Nordrhein-Westfalen,5162,LK Rhein-Kreis Neuss
5,Nordrhein-Westfalen,5166,LK Viersen
5,Nordrhein-Westfalen,5170,LK Wesel
5,Nordrhein-Westfalen,5314,SK Bonn
5,Nordrhein-Westfalen,5315,SK Köln
5,Nordrhein-Westfalen,5316,SK Leverkusen
5,Nordrhein-Westfalen,5334,StädteRegion Aachen
5,Nordrhein-Westfalen,5358,LK Düren
5,Nordrhein-Westfalen,5362,LK Rhein-Erft-Kreis
5,Nordrhein-Westfalen,5366,LK Euskirchen
5,Nordrhein-Westfalen,5370,LK Heinsberg
5,Nordrhein-Westfalen,5374,LK Oberbergischer Kreis
5,Nordrhein-Westfalen,5378,LK Rheinisch-Bergischer Kreis
5,Nordrhein-Westfalen,5382,LK Rhein-Sieg-Kreis
5,Nordrhein-Westfalen,5512,SK Bottrop
5,Nordrhein-Westfalen,5513,SK Gelsenkirchen
5,Nordrhein-Westfalen,5515,SK Münster
5,Nordrhein-Westfalen,5554,LK Borken
5,Nordrhein-Westfalen,5558,LK Coesfeld
5,Nordrhein-Westfalen,5562,LK Recklinghausen
5,Nordrhein-Westfalen,5566,LK Steinfurt
5,Nordrhein-Westfalen,5570,LK Warendorf
5,Nordrhein-Westfalen,5711,SK Bielefeld
5,Nordrhein-Westfalen,5754,LK Gütersloh
5,Nordrhein-Westfalen,5758,LK Herford
5,Nordrhein-Westfalen,5762,LK Höxter
5,Nordrhein-Westfalen,5766,LK Lippe
5,Nordrhein-Westfalen,5770,LK Minden-Lübbecke
5,Nordrhein-Westfalen,5774,LK Paderborn
5,Nordrhein-Westfalen,5911,SK Bochum
5,Nordrhein-Westfalen,5913,SK Dortmund
5,Nordrhein-Westfalen,5914,SK Hagen
5,Nordrhein-Westfalen,5915,SK Hamm
5,Nordrhein-Westfalen,5916,SK Herne
5,Nordrhein-Westfalen,5954,LK Ennepe-Ruhr-Kreis
5,Nordrhein-Westfalen,5958,LK Hochsauerlandkreis
5,Nordrhein-Westfalen,5962,LK Märkischer Kreis
5,Nordrhein-Westfalen,5966,LK Olpe
5,Nordrhein-Westfalen,5970,LK Siegen-Wittgenstein
5,Nordrhein-Westfalen,5974,LK Soest
5,Nordrhein-Westfalen,5978,LK Unna
6,Hessen,6411,SK Darmstadt
6,Hessen,6412,SK Frankfurt am Main
6,Hessen,6413,SK Offenbach
6,Hessen,6414,SK Wiesbaden
6,Hessen,6431,LK Bergstraße
6,Hessen,6432,LK Darmstadt-Dieburg
6,Hessen,6433,LK Groß-Gerau
6,Hessen,6434,LK Hochtaunuskreis
6,Hessen,6435,LK Main-Kinzig-Kreis
6,Hessen,6436,LK Main-Taunus-Kreis
6,Hessen,6437,LK Odenwaldkreis
6,Hessen,6438,LK Offenbach
6,Hessen,6439,LK Rheingau-Taunus-Kreis
6,Hessen,6440,LK Wetteraukreis
6,Hessen,6531,LK Gießen
6,Hessen,6532,LK Lahn-Dill-Kreis
6,Hessen,6533,LK Limburg-Weilburg
6,Hessen,6534,LK Marburg-Biedenkopf
6,Hessen,6535,LK Vogelsbergkreis
6,Hessen,6611,SK Kassel
6,Hessen,6631,LK Fulda
6,Hessen,6632,LK Hersfeld-Rotenburg
6,Hessen,6633,LK Kassel
6,Hessen,6634,LK Schwalm-Eder-Kreis
6,Hessen,6635,LK Waldeck-Frankenberg
6,Hessen,6636,LK Werra-Meißner-Kreis
7,Rheinland-Pfalz,7111,SK Koblenz
7,Rheinland-Pfalz,7131,LK Ahrweiler
7,Rheinland-Pfalz,7132,LK Altenkirchen
7,Rheinland-Pfalz,7133,LK Bad Kreuznach
7,Rheinland-Pfalz,7134,LK Birkenfeld
7,Rheinland-Pfalz,7135,LK Cochem-Zell
7,Rheinland-Pfalz,7137,LK Mayen-Koblenz
7,Rheinland-Pfalz,7138,LK Neuwied
7,Rheinland-Pfalz,7140,LK Rhein-Hunsrück-Kreis
7,Rheinland-Pfalz,7141,LK Rhein-Lahn-Kreis
7,Rheinland-Pfalz,7143,LK Westerwaldkreis
7,Rheinland-Pfalz,7211,SK Trier
7,Rheinland-Pfalz,7231,LK Bernkastel-Wittlich
7,Rheinland-Pfalz,7232,LK Bitburg-Prüm
7,Rheinland-Pfalz,7233,LK Vulkaneifel
7,Rheinland-Pfalz,7235,LK Trier-Saarburg
7,Rheinland-Pfalz,7311,SK Frankenthal
7,Rheinland-Pfalz,7312,SK Kaiserslautern
7,Rheinland-Pfalz,7313,SK Landau i.d.Pfalz
7,Rheinland-Pfalz,7314,SK Ludwigshafen
7,Rheinland-Pfalz,7315,SK Mainz
7,Rheinland-Pfalz,7316,SK Neustadt a.d.Weinstraße
7,Rheinland-Pfalz,7317,SK Pirmasens
7,Rheinland-Pfalz,7318,SK Speyer
7,Rheinland-Pfalz,7319,SK Worms
